"I   t h i n k   y o u ' r e   n o t   u n d e r s t a n d i n g   m e","Y o u   k n o w   w h a t ,   I   w a s   t h i n k i n g   a b o u t   t h a t ,   a c t u a l l y .   W h a t ' s   y o u r   i d e a ?"
"N a m e   a   c i t y .","A B C D"
"Y o u r   a n s w e r s   d o n ' t   m a k e   s e n s e .","I   d o n ' t .   W h a t ' s   y o u r   i d e a ?"
"S u r e ,   w h a t   d o   y o u   w a n t   t o   t a l k   a b o u t","W e l l ,   a l m o s t   e v e r y t h i n g .   A n y   t h o u g h t s ?"
"T h e n   g o   f o r   i t .","S h e ' s   v e r y   g r o u n d i n g ."
"I   l i k e   a n i m a l s .   D o   y o u   h a v e   p e t s ?","N o ,   I   d o n ' t   l i k e   a n i m a l s"
"W h a t   d o   y o u   w a n t   t o   t a l k   a b o u t ?","B a d l y .   W h a t   d o   y o u   t h i n k ?"
"w e l l   t h a t   i s   p o l i t i c s   f o r   y o u","Y e s ."
"H o w   a r e   y o u   d o i n g   t o d a y","G r e a t !   I s n ' t   i t   g o r g e o u s   o u t ?   A n y   t h o u g h t s ?"
"h e l l o",""
"Y o u   f e e l i n g   t h e   b e r n ?","l e t   u s   d o   s o m e t h i n g   f u n   t o g e t h e r"
"i   g i v e   u p","Y e s ."
"D o   y o u   k n o w   a n y   o t h e r s   b e s i d e s   A B C D ?","Y e s ."
"H o c k e y   i s   t h e   b e s t   s p o r t","l e t   u s   d o   s o m e t h i n g   f u n   t o g e t h e r"
"Y o u ' r e   s e x i s t !","d o   y o u   l i k e   t o   p l a y   s o m e   b o a r d   g a m e s   t o g e t h e r   n e x t   t i m e"
"I   l i k e   o n e s   a b o u t   R o b o t s ,   h o w   a b o u t   y o u ?","I   d o ."
"O K ,   B U T   Y O U   S A I D   T H A T   A L R E A D Y","W e l l ,   e v e r y b o d y   h a s   f e a r ,   y o u   k n o w .   G r e a t .   L e t ' s   t a l k   o t h e r   s t u f f   t h e n ."
"G o o d   a f t e r n o o n","W e l l ,   y o u   k n o w ,   I ' m   n o t   s u r e .   W h a t   d o   y o u   t h i n k   a b o u t   m o v i e s"
"I s   t h t a   a n   o l d   j o k e ?","W e l l ,   I   c a n ' t   t h i n k   o f   a n y t h i n g .   G r e a t .   L e t ' s   t a l k   o t h e r   s t u f f   t h e n ."
"I   t h i n k   I   w a n t   t o   p l a y   b o a r d   g a m e s","l e t   u s   d o   s o m e t h i n g   f u n   t o g e t h e r"
"L i k e   w h a t ?","T h a t ' s   t h e   p i c t u r e   t h e r e ."
"w h a t   d o   y o u   t h i n k   n e e d s   t o   b e   i m p r o v e d","U h - h u h ,   I   d o .   W h a t   d o   y o u   t h i n k ?"
"H e l l o",""
"D o   y o u   l i k e   g a m e s ?","N o .   W h a t   d o   y o u   t h i n k ?"
"Y o u   a r e   n o t   m a k i n g   a n y   s e n s e .","l e t   u s   d o   s o m e t h i n g   f u n   t o g e t h e r"
"Y o u   s o u n d   l i k e   t h e   g u y   f r o m   V e g a s","W e   n e v e r   r e a l l y   g r o w   u p ,   w e   o n l y   l e a r n   h o w   t o   a c t   i n   p u b l i c ."
"Y o u   a g r e e   a b o u t   w h a t ?","d o   y o u   l i k e   t o   p l a y   s o m e   b o a r d   g a m e s   t o g e t h e r   n e x t   t i m e"
"I   h a v e   a   d o g","W e   n e v e r   r e a l l y   g r o w   u p ,   w e   o n l y   l e a r n   h o w   t o   a c t   i n   p u b l i c ."
"I   l i k e   s p o r t s","d o   y o u   w a n t   t o   g o   t o   m y   f i r e n d s '   p a r t y   t o n i g h t"
"I   l i k e   b l u e s   m u s i c","W e   n e v e r   r e a l l y   g r o w   u p ,   w e   o n l y   l e a r n   h o w   t o   a c t   i n   p u b l i c ."
"l i k e   w h a t","H e   w a s   a   g r e a t   g u y ."
"a b o u t   w h a t ?","Y o u   k n o w ,   P i e r s ,   I   t h i n k   t o o   y o u n g ."
"n o   i   c a n n o t","W i t h   t h i s   m o v i e .   W h a t ' s   y o u r   i d e a ?"
"i f   t h a t   w a s   b a i t   i t   w o u l d   h a v e   b e e n   a   w o r m","T h e   P a l i n s   h a v e   i n t i m i d a t e d   s o   m a n y   p e o p l e   f o r   s o   l o n g   i n   t h e   W a s i l l a   a r e a   t h a t   i t ' s   v e r y   h a r d   t o   f i n d   p e o p l e   w i l l i n g   t o   t a l k   a b o u t   t h e m   e v e n   i n   i n c o n s e q u e n t i a l   w a y s   o n   t h e   r e c o r d ."
"3 + 2","I   n e v e r   m a k e   t h e   s a m e   m i s t a k e   t w i c e .   I   m a k e   i t   f i v e   a n d   s i x   t i m e s ,   j u s t   t o   b e   s u r e ."
"H e l l o ,   h o w   a r e   y o u   d o i n g   t o d a y ?","d o i n g   g r e a t   t h a n k s   W h a t   d o   y o u   t h i n k ?"
"W o w .","U h h ,   I   c a n ' t   a n s w e r   t h i s .   C a n   y o u   t e l l   m e   s o m e t h i n g   a b o u t   p o l i t i c s"
"S o r r y   m a n ,   I ' m   o u t .","d o   y o u   w a n t   t o   g o   t o   m y   f i r e n d s '   p a r t y   t o n i g h t"
